_id;nome;cod;casosAcumulado;obitosAcumulado
Rio de Janeiro;Rio de Janeiro;330455;1339044;38292
São Paulo;São Paulo;355030;1182844;45231
Brasília;Brasília;530010;910663;11863
Belo Horizonte;Belo Horizonte;310620;472778;8451
Goiânia;Goiânia;520870;469518;8085
Fortaleza;Fortaleza;230440;410514;11816
Salvador;Salvador;292740;339536;9155
Porto Alegre;Porto Alegre;431490;336942;6714
Manaus;Manaus;130260;318349;9942
Curitiba;Curitiba;410690;308848;8861
Recife;Recife;261160;307772;6811
Uberlândia;Uberlândia;317020;245152;3546
Campinas;Campinas;350950;224669;5492
Campo Grande;Campo Grande;500270;216849;4711
Londrina;Londrina;411370;193088;2741
Joinville;Joinville;420910;192833;2360
Aparecida de Goiânia;Aparecida de Goiânia;520140;183135;2063
João Pessoa;João Pessoa;250750;179604;3300
Florianópolis;Florianópolis;420540;172752;1355
Caxias do Sul;Caxias do Sul;430510;172743;1720
Aracaju;Aracaju;280030;172024;2627
São José do Rio Preto;São José do Rio Preto;354980;164317;3230
Belém;Belém;150140;159062;5471
Natal;Natal;240810;156924;3149
Cuiabá;Cuiabá;510340;154216;3746
Serra;Serra;320500;153023;1805
Vila Velha;Vila Velha;320520;151937;2063
Vitória;Vitória;320530;151168;1463
Maringá;Maringá;411520;149231;1871
Teresina;Teresina;221100;144315;3028
Boa Vista;Boa Vista;140010;141026;1654
São José dos Campos;São José dos Campos;354990;133708;2397
Maceió;Maceió;270430;133439;3230
Porto Velho;Porto Velho;110020;130151;2755
Blumenau;Blumenau;420240;117741;845
São Gonçalo;São Gonçalo;330490;117069;4206
Pelotas;Pelotas;431440;114469;1560
Sorocaba;Sorocaba;355220;112183;3251
Guarulhos;Guarulhos;351880;109907;5630
Ribeirão Preto;Ribeirão Preto;354340;107009;3538
Piracicaba;Piracicaba;353870;106371;1685
Uberaba;Uberaba;317010;106309;1655
Cariacica;Cariacica;320130;103575;1632
Canoas;Canoas;430460;103531;1938
Anápolis;Anápolis;520110;100373;2036
Santo André;Santo André;354780;100298;3569
Macapá;Macapá;160030;99717;1616
Montes Claros;Montes Claros;314330;97908;1096
Ponta Grossa;Ponta Grossa;411990;96659;1614
Niterói;Niterói;330330;91729;3082
Bauru;Bauru;350600;91192;1496
Palmas;Palmas;172100;90903;735
Contagem;Contagem;311860;90281;2234
Rio Branco;Rio Branco;120040;88002;1226
Santos;Santos;354850;87034;2664
Cascavel;Cascavel;410480;86825;1293
Foz do Iguaçu;Foz do Iguaçu;410830;85016;1337
Feira de Santana;Feira de Santana;291080;84726;1219
Santa Maria;Santa Maria;431690;82658;1019
Petrópolis;Petrópolis;330390;80870;1788
São Bernardo do Campo;São Bernardo do Campo;354870;77942;3871
São Luís;São Luís;211130;77852;2762
Chapecó;Chapecó;420420;76126;879
Juiz de Fora;Juiz de Fora;313670;75540;2419
Volta Redonda;Volta Redonda;330630;74875;1506
Passo Fundo;Passo Fundo;431410;74721;831
Jundiaí;Jundiaí;352590;74346;1845
Campina Grande;Campina Grande;250400;70509;1266
São José dos Pinhais;São José dos Pinhais;412550;69911;1226
Luziânia;Luziânia;521250;69697;594
Araraquara;Araraquara;350320;68174;671
Itajaí;Itajaí;420820;67448;903
Rio Verde;Rio Verde;521880;66647;891
Parauapebas;Parauapebas;150553;66552;530
Nova Iguaçu;Nova Iguaçu;330350;66153;2301
Caruaru;Caruaru;260410;65566;778
Linhares;Linhares;320320;64717;518
Jaraguá do Sul;Jaraguá do Sul;420890;64009;477
Cachoeiro de Itapemirim;Cachoeiro de Itapemirim;320120;61561;756
Várzea Grande;Várzea Grande;510840;60950;1536
Rio Grande;Rio Grande;431560;59268;722
Macaé;Macaé;330240;59133;939
São José;São José;421660;58743;688
Jaboatão dos Guararapes;Jaboatão dos Guararapes;260790;57728;1882
Campos dos Goytacazes;Campos dos Goytacazes;330100;57576;2380
Novo Hamburgo;Novo Hamburgo;431340;57420;1134
Petrolina;Petrolina;261110;57010;610
Botucatu;Botucatu;350750;56500;402
Betim;Betim;310670;56481;1487
Governador Valadares;Governador Valadares;312770;56400;1538
Criciúma;Criciúma;420460;56319;744
Dourados;Dourados;500370;56201;771
Mogi das Cruzes;Mogi das Cruzes;353060;54643;1915
Araguaína;Araguaína;170210;53603;617
Colatina;Colatina;320150;53021;416
Ipatinga;Ipatinga;313130;52969;1005
Belford Roxo;Belford Roxo;330045;52875;1031
Vitória da Conquista;Vitória da Conquista;293330;52427;756
São Leopoldo;São Leopoldo;431870;50118;907
Toledo;Toledo;412770;49847;509
Olinda;Olinda;260960;49780;1136
Bragança Paulista;Bragança Paulista;350760;49435;655
Barra Mansa;Barra Mansa;330040;49356;771
Santa Cruz do Sul;Santa Cruz do Sul;431680;49337;416
Colombo;Colombo;410580;49186;914
Osasco;Osasco;353440;49136;3186
Araçatuba;Araçatuba;350280;49034;1028
Barueri;Barueri;350570;48863;1274
Juazeiro do Norte;Juazeiro do Norte;230730;48403;768
Sete Lagoas;Sete Lagoas;316720;48036;731
Parnamirim;Parnamirim;240325;47516;659
Araucária;Araucária;410180;47343;592
Brusque;Brusque;420290;47302;366
Nova Friburgo;Nova Friburgo;330340;46093;1024
Palhoça;Palhoça;421190;46088;427
Divinópolis;Divinópolis;312230;46006;768
Pouso Alegre;Pouso Alegre;315250;45939;514
Itabuna;Itabuna;291480;45742;815
Mossoró;Mossoró;240800;45557;714
Santarém;Santarém;150680;44781;1405
Rondonópolis;Rondonópolis;510760;44588;1005
Senador Canedo;Senador Canedo;522045;43969;474
Limeira;Limeira;352690;43907;1312
Lages;Lages;420930;43627;618
Marília;Marília;352900;43473;1185
Presidente Prudente;Presidente Prudente;354140;43399;1090
Carapicuíba;Carapicuíba;351060;43177;1310
Sobral;Sobral;231290;42976;780
Araxá;Araxá;310400;42936;316
Guarapuava;Guarapuava;410940;42508;699
Pinhais;Pinhais;411915;42320;641
Arapiraca;Arapiraca;270030;42233;595
Teresópolis;Teresópolis;330580;42025;1045
Gravataí;Gravataí;430920;41976;1118
Sumaré;Sumaré;355240;41922;1008
Ituiutaba;Ituiutaba;313420;41848;549
Duque de Caxias;Duque de Caxias;330170;41797;1960
Alvorada;Alvorada;430060;41597;937
Aracruz;Aracruz;320060;41332;288
Bento Gonçalves;Bento Gonçalves;430210;41171;505
Sinop;Sinop;510790;41167;513
Hortolândia;Hortolândia;351907;40587;897
Viamão;Viamão;432300;40399;872
Patos de Minas;Patos de Minas;314800;40333;679
Mogi Guaçu;Mogi Guaçu;353070;39778;722
Umuarama;Umuarama;412810;39648;398
Catanduva;Catanduva;351110;39524;740
Pindamonhangaba;Pindamonhangaba;353800;39306;599
Franca;Franca;351620;39287;1325
São Mateus;São Mateus;320490;39012;367
Taubaté;Taubaté;355410;38989;1205
Balneário Camboriú;Balneário Camboriú;420200;38929;511
Nova Lima;Nova Lima;314480;38913;288
Itu;Itu;352390;38749;600
São Caetano do Sul;São Caetano do Sul;354880;38731;1186
Mauá;Mauá;352940;38600;1704
Santa Bárbara d'Oeste;Santa Bárbara d'Oeste;354580;38077;916
Caraguatatuba;Caraguatatuba;351050;37901;547
Ariquemes;Ariquemes;110002;37585;568
Campo Largo;Campo Largo;410420;37193;524
Ji-Paraná;Ji-Paraná;110012;37065;671
Trindade;Trindade;522140;36978;612
São Carlos;São Carlos;354890;36816;645
Varginha;Varginha;317070;36714;451
Valparaíso de Goiás;Valparaíso de Goiás;522185;36307;453
Camaçari;Camaçari;290570;35705;702
Caucaia;Caucaia;230370;35635;1085
Sapucaia do Sul;Sapucaia do Sul;432000;35488;650
Itabira;Itabira;313170;35443;423
Ananindeua;Ananindeua;150080;35411;883
Francisco Beltrão;Francisco Beltrão;410840;35243;316
Araguari;Araguari;310350;35030;544
Paranaguá;Paranaguá;411820;35020;691
Santana;Santana;160060;34749;227
Poços de Caldas;Poços de Caldas;315180;34539;615
Lauro de Freitas;Lauro de Freitas;291920;34027;594
Maracanaú;Maracanaú;230765;33927;879
Tubarão;Tubarão;421870;33720;558
Garanhuns;Garanhuns;260600;33635;354
Resende;Resende;330420;33521;596
Três Lagoas;Três Lagoas;500830;33484;563
Guarapari;Guarapari;320240;33444;535
Votuporanga;Votuporanga;355710;33420;511
Campo Mourão;Campo Mourão;410430;33005;400
Lavras;Lavras;313820;32960;216
Itaquaquecetuba;Itaquaquecetuba;352310;32752;1171
São João de Meriti;São João de Meriti;330510;32604;1512
Barretos;Barretos;350550;32318;651
Praia Grande;Praia Grande;354100;32280;1384
Bagé;Bagé;430160;32220;373
Ijuí;Ijuí;431020;32151;313
Guarujá;Guarujá;351870;32090;1566
Ribeirão das Neves;Ribeirão das Neves;315460;32060;954
Birigui;Birigui;350650;32046;657
Cabo Frio;Cabo Frio;330070;31993;1070
Telêmaco Borba;Telêmaco Borba;412710;31987;420
Cacoal;Cacoal;110004;31861;358
Diadema;Diadema;351380;31818;1587
Jataí;Jataí;521190;31692;453
São Vicente;São Vicente;355100;31468;1470
Itaboraí;Itaboraí;330190;31170;1044
Jacareí;Jacareí;352440;31144;925
Rio das Ostras;Rio das Ostras;330452;31000;586
Uruguaiana;Uruguaiana;432240;30994;513
Arapongas;Arapongas;410150;30858;667
Cotia;Cotia;351300;30466;817
Passos;Passos;314790;30357;409
Imperatriz;Imperatriz;210530;30348;923
Cachoeirinha;Cachoeirinha;430310;30266;554
Suzano;Suzano;355250;30198;1055
Tangará da Serra;Tangará da Serra;510795;30192;402
Pato Branco;Pato Branco;411850;30155;331
Mineiros;Mineiros;521310;30131;307
Itatiba;Itatiba;352340;29772;390
Juazeiro;Juazeiro;291840;29699;497
Itaperuna;Itaperuna;330220;29574;315
Unaí;Unaí;317040;29367;322
Lucas do Rio Verde;Lucas do Rio Verde;510525;29284;225
Esteio;Esteio;430770;29217;425
Concórdia;Concórdia;420430;29105;246
Catalão;Catalão;520510;28667;472
Indaiatuba;Indaiatuba;352050;28608;895
